m,tau_s,adev_ideal,adev_50m,adev_200m,adev_tdc,num_pairs
1,0.0100000000002183,4.99899929822372e-10,4.28952640734037e-08,1.77764066106587e-08,1.11597142249509e-09,999998
2,0.0200000000004366,3.53562181779928e-10,2.32809400150641e-08,1.03531603265397e-08,6.12247319240166e-10,999996
3,0.0300000000006548,2.88301920563079e-10,1.77263675792067e-08,7.59753700584036e-09,4.41185014765158e-10,999994
4,0.0400000000008731,2.49766978910568e-10,1.43440456637654e-08,6.20612061804987e-09,3.53518715595951e-10,999992
5,0.0500000000010914,2.23613392317517e-10,1.21326613736762e-08,5.25359648255889e-09,3.00000115265712e-10,999990
6,0.0600000000013097,2.04221907510688e-10,1.05883169793738e-08,4.5659032393362e-09,2.6360929166792e-10,999988
7,0.070000000001528,1.89121114326846e-10,9.58321555753364e-09,4.08396926177369e-09,2.37107978210754e-10,999986
8,0.0800000000017462,1.77002916334289e-10,8.74292416850516e-09,3.68488022232519e-09,2.16812429136044e-10,999984
9,0.0900000000019645,1.66973734781666e-10,7.98153183218798e-09,3.39210553400732e-09,2.00617768625517e-10,999982
10,0.100000000002183,1.58422255348436e-10,7.42705212178133e-09,3.14407342527533e-09,1.87444438577361e-10,999980
12,0.120000000002619,1.44625232648393e-10,6.51288604915269e-09,2.74339612445473e-09,1.66981489099623e-10,999976
14,0.140000000003056,1.3385013435187e-10,5.84152415328624e-09,2.43777940718047e-09,1.51741696387655e-10,999972
16,0.160000000003492,1.25134297596152e-10,5.35615702048817e-09,2.22252360895054e-09,1.39901016103232e-10,999968
18,0.180000000003929,1.17962454406925e-10,4.95419957842198e-09,2.04430007468503e-09,1.30389332307253e-10,999964
21,0.210000000004584,1.09252350538932e-10,4.48943665978283e-09,1.82841760329941e-09,1.19187039531289e-10,999958
25,0.250000000005457,1.00161394010541e-10,4.02720882496029e-09,1.63662271968203e-09,1.07910380899738e-10,999950
29,0.29000000000633,9.29971738584312e-11,3.66047981322655e-09,1.48790525717153e-09,9.92605256052682e-11,999942
33,0.330000000007203,8.71909957433332e-11,3.36197234038601e-09,1.3658682367581e-09,9.24015790872246e-11,999934
38,0.380000000008295,8.12552450037671e-11,3.03363074345863e-09,1.23464734964694e-09,8.54753190616305e-11,999924
44,0.440000000009604,7.55780919153679e-11,2.72511896005314e-09,1.11304740095432e-09,7.89648987328597e-11,999912
51,0.510000000011132,7.03770938198698e-11,2.43812921709911e-09,1.00904599834357e-09,7.30881413832892e-11,999898
59,0.590000000012878,6.56782802270441e-11,2.19254008051733e-09,9.19418840577028e-10,6.78521314569132e-11,999882
68,0.680000000014843,6.14507951230186e-11,1.98907526905002e-09,8.3544930874432e-10,6.32075649379619e-11,999864
79,0.790000000017244,5.7286613316322e-11,1.79921434649025e-09,7.60634218447881e-10,5.86798521123513e-11,999842
92,0.920000000020082,5.33206131036194e-11,1.61763363238692e-09,6.88180627303533e-10,5.4421718828702e-11,999816
106,1.06000000002314,4.99101150327898e-11,1.48053771856236e-09,6.28718315269805e-10,5.07899240694215e-11,999788
123,1.23000000002685,4.65551140540784e-11,1.33854494650428e-09,5.71204857292846e-10,4.72649830258315e-11,999754
142,1.420000000031,4.35340090790024e-11,1.23279074298357e-09,5.25041379807648e-10,4.40964922636467e-11,999716
164,1.6400000000358,4.06794608004269e-11,1.13682154136478e-09,4.83231612041754e-10,4.11397614507173e-11,999672
190,1.90000000004147,3.79165336927191e-11,1.05198903345777e-09,4.45358359973662e-10,3.82839491569243e-11,999620
220,2.20000000004802,3.53762107770835e-11,9.68554961685895e-10,4.0995688909739e-10,3.56736481260315e-11,999560
254,2.54000000005544,3.31110249270522e-11,8.93710996922451e-10,3.78310210465131e-10,3.33489721029726e-11,999492
294,2.94000000006417,3.10248198194436e-11,8.12559027903596e-10,3.48663156893202e-10,3.12142562617021e-11,999412
340,3.40000000007421,2.91366519618547e-11,7.34625712462752e-10,3.22872925417096e-10,2.92864040976172e-11,999320
393,3.93000000008578,2.74289989892557e-11,6.63949141536776e-10,2.97832431791013e-10,2.75462834539399e-11,999214
455,4.55000000009932,2.57795707329022e-11,6.05130367257492e-10,2.746017829633e-10,2.58715375291704e-11,999090
527,5.27000000011503,2.41886247739919e-11,5.56966586946795e-10,2.52497884285225e-10,2.42601842601609e-11,998946
609,6.09000000013293,2.27342857137773e-11,5.13059198338173e-10,2.33220122632862e-10,2.27909476189622e-11,998782
705,7.05000000015389,2.14035764541048e-11,4.78669440827173e-10,2.13885045636551e-10,2.14494248527135e-11,998590
815,8.1500000001779,2.02256717487506e-11,4.43331738818487e-10,1.97598490457337e-10,2.02636578782012e-11,998370
943,9.43000000020584,1.9180499758921e-11,4.06743312841636e-10,1.82460050387383e-10,1.92112436537516e-11,998114
1091,10.9100000002381,1.82696694788645e-11,3.78012236207573e-10,1.68850004081403e-10,1.82938735626861e-11,997818
1263,12.6300000002757,1.74507869013372e-11,3.50266911351705e-10,1.56518895545364e-10,1.74700621503279e-11,997474
1461,14.6100000003189,1.67731760393888e-11,3.19679544518035e-10,1.44521377106593e-10,1.67874714931557e-11,997078
1690,16.9000000003689,1.62028891212641e-11,2.91656059342236e-10,1.31144916007614e-10,1.6214188356099e-11,996620
1955,19.5500000004267,1.57766242119968e-11,2.65334688448623e-10,1.15228585959307e-10,1.57857827580193e-11,996090
2262,22.6200000004937,1.54714681069857e-11,2.45034809598339e-10,9.96657186191129e-11,1.5478631576042e-11,995476
2616,26.160000000571,1.53387149947618e-11,2.26066422376347e-10,8.54992431905941e-11,1.534419896325e-11,994768
3027,30.2700000006607,1.53356176371436e-11,2.10450733932383e-10,7.37634396553017e-11,1.53400926358286e-11,993946
3502,35.0200000007644,1.54553889489357e-11,1.96083321181704e-10,6.59361538260046e-11,1.54585754026325e-11,992996
4051,40.5100000008842,1.56078211116597e-11,1.82852572404881e-10,6.20334293698476e-11,1.56102207721943e-11,991898
4687,46.8700000010231,1.57548473404323e-11,1.68344304145384e-10,5.72901382299376e-11,1.57565666809455e-11,990626
5422,54.2200000011835,1.57927002043173e-11,1.56613203534554e-10,5.07990499053556e-11,1.57941211063003e-11,989156
6273,62.7300000013693,1.57385270459375e-11,1.44443666903034e-10,4.32520773383561e-11,1.5739589756362e-11,987454
7257,72.570000001584,1.56682404734862e-11,1.29316664192798e-10,3.78245311254914e-11,1.56690329269062e-11,985486
8396,83.9600000018327,1.56455335681844e-11,1.11493007875702e-10,3.37821492535445e-11,1.56460707006066e-11,983208
9713,97.1300000021201,1.57425933534541e-11,9.50047897539387e-11,2.98160621885087e-11,1.57429399455655e-11,980574
11236,112.360000002453,1.60652112620228e-11,8.10763262882907e-11,2.75885583151495e-11,1.60654213042442e-11,977528
12999,129.990000002837,1.66007096708594e-11,7.10991628319596e-11,2.53540038428204e-11,1.66008418546259e-11,974002
15039,150.390000003283,1.72721314470399e-11,6.58225932393915e-11,2.46909854741674e-11,1.72722128076584e-11,969922
17398,173.980000003798,1.79912429145735e-11,6.41118087766818e-11,2.33437062465715e-11,1.79913297706963e-11,965204
20128,201.280000004394,1.87506976016445e-11,6.00842548684134e-11,2.22888746017573e-11,1.87507798055732e-11,959744
23285,232.850000005083,1.94952793938754e-11,5.23808556829718e-11,2.21162437068138e-11,1.949533840654e-11,953430
26939,269.39000000588,2.02049174620072e-11,4.50892212972677e-11,2.21181062937502e-11,2.02049596633364e-11,946122
31165,311.650000006803,2.08666595988929e-11,4.08414931870156e-11,2.2159002025486e-11,2.08667025300511e-11,937670
36054,360.54000000787,2.16436785229216e-11,3.61476730926746e-11,2.2700180742052e-11,2.16437097885974e-11,927892
41711,417.110000009105,2.25583213456008e-11,3.25451051765408e-11,2.34250317146495e-11,2.25583452695828e-11,916578
48255,482.550000010533,2.37511065063751e-11,3.14751180593975e-11,2.42516847075518e-11,2.37511241795813e-11,903490
55825,558.250000012185,2.54269521727541e-11,3.15817826595934e-11,2.57264394204092e-11,2.54269634216164e-11,888350
64584,645.840000014097,2.76003764420696e-11,3.17877188067438e-11,2.78036901439005e-11,2.76003822868685e-11,870832
74716,747.160000016309,3.0149418818918e-11,3.31162766579705e-11,3.02628177623471e-11,3.01494242828771e-11,850568
86438,864.380000018868,3.30246558879581e-11,3.53501210954428e-11,3.30866427690538e-11,3.30246621170104e-11,827124
99999,999.990000021828,3.62273650203777e-11,3.76554918139216e-11,3.63115517828747e-11,3.62273709033395e-11,800002
